name,beds,price,lon,lat,deposit,rent_description,touring,close_to_transportation,furnished,new_listing,size,orientation,level,elevator,parking,amenities,log_price
三兴小区,1,4500.0,121.4665222,31.25825706,0,0,1,1,1,0,31,4,1,0,0,5,8.411832675758411
华龙大酒店,1,3700.0,121.4584935,31.26211006,0,0,1,1,0,0,43,1,2,0,0,0,8.216088098632316
协和大厦,2,8500.0,121.46401399999999,31.265904,0,0,1,1,0,0,92,1,2,1,0,7,9.047821442478408
安源小区,2,8200.0,121.457048,31.251189,0,0,0,0,1,0,78,1,1,1,0,8,9.011889433252344
和泰花园,2,9000.0,121.45791499999999,31.263993,0,0,0,1,0,0,93,1,1,1,1,8,9.104979856318357
永兴路973弄,2,6300.0,121.4661219,31.25783669,0,0,0,0,1,0,50,1,3,0,0,8,8.748304912379623
共和大厦(公寓),2,8900.0,121.46874199999999,31.265284,0,0,0,1,0,0,89,5,3,1,0,0,9.093806555720231
永兴路908号,1,7000.0,121.466425,31.257512,0,0,0,1,0,0,101,5,0,0,0,0,8.85366542803745
一天下大厦,1,6200.0,121.46368999999999,31.24667100000001,0,0,0,1,1,0,49,3,2,1,0,8,8.732304571033183
金峰大厦,3,12000.0,121.4649428,31.24585907,0,0,1,1,1,0,109,1,1,1,0,8,9.392661928770137
北美公寓,3,11800.0,121.463311,31.265660999999998,0,0,0,1,0,0,126,1,2,1,1,6,9.375854810453756
中海万锦城(四期),5,10500.0,121.46609699999999,31.257013,0,0,1,1,0,0,71,3,2,1,0,0,9.259130536145614
苏河融景,2,21000.0,121.46066200000001,31.248414,0,0,0,0,1,0,75,1,1,1,0,10,9.95227771670556
企业公馆,1,22000.0,121.4650643,31.25083545,0,0,0,1,0,0,163,1,2,1,0,0,9.998797732340453
中海万锦城(三期),3,15000.0,121.468456,31.256684999999997,0,0,0,1,1,0,138,1,2,1,0,8,9.615805480084347
苏河融景,3,27000.0,121.46066200000001,31.248414,0,0,0,0,1,0,135,1,2,1,0,4,10.203592144986466
中海万锦城(四期),3,10000.0,121.46609699999999,31.257013,0,0,0,1,0,0,75,6,2,1,0,0,9.210340371976184
富泉公寓,3,13000.0,121.468397,31.255646999999996,0,0,0,0,1,0,119,1,3,1,0,7,9.472704636443673
中华新路893弄,1,4700.0,121.462947,31.2613697,0,0,0,0,1,0,33,1,2,0,0,9,8.45531778769815
中海万锦城(二期),2,12000.0,121.46765900000001,31.255665000000004,0,0,0,1,1,0,84,1,3,1,0,6,9.392661928770137
汉中小区,1,5000.0,121.46570700000001,31.249453999999997,0,0,0,1,0,1,37,1,2,0,0,0,8.517193191416238
安源小区,2,7500.0,121.457048,31.251189,0,0,0,0,0,0,80,3,1,1,0,8,8.922658299524402
中海万锦城(一期),2,10800.0,121.46646799999999,31.25607,0,0,0,1,0,0,90,1,2,1,0,7,9.287301413112312
中海万锦城(四期),2,8200.0,121.46609699999999,31.257013,0,0,0,1,1,0,44,1,2,1,0,0,9.011889433252344
卓悦居,3,17000.0,121.464013,31.250365999999996,0,0,0,0,1,0,125,5,3,1,0,9,9.740968623038354
中海万锦城(二期),3,10000.0,121.46765900000001,31.255665000000004,0,0,0,1,0,0,84,2,1,1,0,0,9.210340371976184
